"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","tr001_modele_dpe_type_libelle","tr002_type_batiment_description","code_insee_commune_actualise","tv016_departement_code","geo_adresse","geo_score"
"3CL - DPE","V2012","2013-06-04",175.79,"D",6.54,"B",1997,36.1,42.697599,3.035053,"Vente","Logement","66037","66","2 Avenue du Roussillon 66140 Canet-en-Roussillon",0.96
"3CL - DPE","V2012","2013-06-11",297,"E",17,"C",2007,115,,,"Vente","Logement","67482","67",,0
"3CL","2012","2013-06-06",156.81,"D",36.69,"E",2005,84,47.907437,7.208456,"Location","Logement","68112","68","37 Rue de Lucerne 68500 Guebwiller",0.82
"Méthode Facture",,"2013-05-16",136,"C",31,"D",1,106.01,,,"Vente","Logement","69005","69",,0
"3CL - DPE","V2012","2013-09-30",514.09,"G",120.3,"G",1960,68.31,47.685266,6.488853,"Vente","Maison Individuelle","70310","70","17 Rue Parmentier 70200 Lure",0.96
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-26",376,"F",22,"D",1978,104,,,"Vente","Maison Individuelle","71420","71",,0
"3CL - DPE","V2012","2013-06-20",250.99,"E",11.98,"C",2008,83.13,48.12017,0.708806,"Vente","Maison Individuelle","72156","72","3 Rue des Sablons 72320 Lamnay",0.95
"3CL","2012","2013-06-27",282.95,"E",66.21,"F",1964,202,,,"Copropriété","Maison Individuelle","73000","73",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-18",583,"G",36,"E",1983,23.37,,,"Vente","Logement","74400","74",,0
"3CL - DPE","V2012","2013-05-24",652.28,"G",37.4,"E",1990,27.04,48.837785,2.349214,"Vente","Logement","75056","75","24 Rue Pascal 75005 Paris",0.97
